,fecha,prices_bitcoin,market_caps_bitcoin,total_volumes_bitcoin,prices_ethereum,market_caps_ethereum,total_volumes_ethereum,prices_binancecoin,market_caps_binancecoin,total_volumes_binancecoin,prices_cardano,market_caps_cardano,total_volumes_cardano,prices_dogecoin,market_caps_dogecoin,total_volumes_dogecoin,prices_solana,market_caps_solana,total_volumes_solana,prices_polkadot,market_caps_polkadot,total_volumes_polkadot,prices_matic-network,market_caps_matic-network,total_volumes_matic-network,prices_litecoin,market_caps_litecoin,total_volumes_litecoin,prices_ripple,market_caps_ripple,total_volumes_ripple
56,2020-02-26,8801.657,160731785487.8149,45140119229.636024,224.811,24823014146.598347,20470479538.054836,18.711,2858511810.4523153,346015231.2115283,0.051,1578309017.5664997,274099295.5684429,0.002,287388014.02649766,174293462.49905425,,,,,,,0.018,47274423.62656051,36069605.72243122,60.854,3915474637.948839,5215601509.186436,0.233,10107015239.20526,3277214495.244253
57,2020-02-27,8781.175,160149975301.41962,43045469000.97675,225.43,24879553838.25944,23994578699.806026,19.121,2921518777.105417,334602154.89532155,0.05,1546750720.8339329,209902464.90978274,0.002,288730742.5873611,138916299.7128656,,,,,,,0.02,49669131.41589402,33735101.832616456,61.295,3948524905.1794887,5429761161.101574,0.236,10372076911.34373,2700620092.1848893
58,2020-02-28,8717.331,159030381910.26715,41297721067.30182,227.705,25137364865.97101,19715536659.914295,18.968,2926158625.653091,475710231.97751814,0.049,1531950187.0796108,195936467.4850897,0.002,285088979.4241193,130103960.27279843,,,,,,,0.02,51876436.24711087,35504463.29999514,60.124,3859076577.3855953,4823322953.45569,0.237,10383454661.41943,2477143911.606179
59,2020-02-29,8552.989,156047250857.11172,33291626663.006737,218.348,24105658618.96741,13967572974.821035,19.316,2982985653.833748,510660552.38554364,0.047,1481631103.8686461,120953605.76956655,0.002,277173142.30733156,122706371.4694886,,,,,,,0.02,52016007.38224557,33641423.59929505,58.095,3729258959.679366,3315466964.707307,0.23,10085552216.249443,2044539704.0515926
60,2020-03-01,8567.802,155934421965.2728,34310775733.322155,218.94,24049874527.90718,16557363028.554333,18.991,2908085916.4507985,279150858.820654,0.046,1435816109.7772639,124670458.46928771,0.002,276525338.1066594,132312472.16995798,,,,,,,0.019,49616734.54175767,30863594.50934271,57.983,3722461516.3110385,4056678098.0414844,0.229,10025695675.143848,2069107143.4855473
61,2020-03-02,8905.876,162521881368.8758,59776629742.57125,231.679,25392608994.495888,18301098060.91034,19.87,3047290851.6456995,342469581.8297362,0.049,1515782622.4162924,141670557.78046253,0.002,292637623.8657013,141216615.1434779,,,,,,,0.021,54429579.1153455,31247796.868668746,61.388,3941488920.094796,5491624364.880774,0.239,10478654993.098969,2463124755.610758
62,2020-03-03,8756.719,159816567727.14258,68336042797.3885,223.96,24709361638.74632,19133763158.937866,19.592,2967313549.754455,328500278.4133449,0.049,1516016247.2014577,150407091.0070928,0.002,298013222.6554983,145310587.21271068,,,,,,,0.024,60698451.9422282,51054811.57528579,61.17,3927910860.0761356,6611887815.786327,0.235,10269759591.410824,2454087704.964802
63,2020-03-04,8758.647,159869936941.09732,38832067216.87788,224.135,24635535324.34428,14844945103.395332,19.998,3023669002.147633,316845189.14028096,0.049,1519410636.5864627,170344689.4210829,0.002,304497587.25450265,130345674.18698607,,,,,,,0.025,68198391.23433642,99369845.99842194,60.248,3869179765.241715,4202923459.5906315,0.235,10272279568.445084,2236741729.1902986
64,2020-03-05,9038.87,165070261612.788,38122635173.15044,228.081,25072941968.371387,16056678004.768778,20.82,3148122007.3728514,348942110.5211332,0.051,1581607337.8214996,142091918.55701336,0.002,306300424.48076445,85693524.53818743,,,,,,,0.026,72433912.21689516,80146249.31486046,61.647,3959484177.2508626,4235758005.4962916,0.238,10432581064.571096,2193770065.4365125
65,2020-03-06,9135.845,166791067805.42844,41388087588.44269,244.238,26861442576.626507,16938887970.316448,21.32,3225098953.680081,395065946.11913174,0.051,1595164988.848021,136293489.32336417,0.002,307450941.5042309,81573107.81165162,,,,,,,0.025,68581138.3128766,56319292.95946778,63.123,4054732384.9970655,4466516591.371286,0.244,10685792781.178034,2329507514.6243596
66,2020-03-07,8902.202,162543409238.00458,36764763103.12236,237.381,26199142579.509506,15033855133.023136,20.035,3021511858.4877877,314894895.76634705,0.049,1530117969.709145,125016889.24696535,0.002,299943225.37830424,68887904.53028291,,,,,,,0.027,73495744.42539056,89597330.78645816,60.432,3882319278.0156283,3829713821.3963246,0.237,10388905930.494232,1974512300.6903646
67,2020-03-08,8041.366,147076617271.6885,39132209137.697235,198.82,22145350491.45419,18839637103.648037,16.877,2576606762.579333,273483539.38262784,0.043,1340799680.8298566,145742667.2924989,0.002,269347499.5804046,79686704.90746602,,,,,,,0.022,60128637.82298643,73503295.59268169,51.214,3290502550.532672,3708201200.06098,0.204,8932130947.405481,2212569691.91303
68,2020-03-09,7921.332,144664117909.4077,45678665163.11017,200.847,22001125399.41239,17900321700.644154,16.584,2497008181.427224,383658471.5850716,0.042,1295651579.797846,166720941.06616473,0.002,271554683.58954656,105653413.87130305,,,,,,,0.02,56373069.238138914,81828096.34831317,50.025,3214474673.0706234,4403136077.298616,0.209,9150172777.740633,2703449654.798481
69,2020-03-10,7906.732,144410718987.88852,40882213633.94649,200.749,22178131746.591427,10622282127.512653,16.886,2565981290.9065304,330638655.66053146,0.041,1292352733.1622233,140500959.223219,0.002,272532064.57710326,88469387.3534648,,,,,,,0.021,57288338.36561174,65191499.53149641,50.176,3224531075.472046,3760841533.8817225,0.212,9268761808.195688,2198016132.888562
70,2020-03-11,7935.522,144948460093.29614,38689036552.81125,194.218,21375073649.951973,14699687559.439268,16.568,2493501408.1594257,267252146.98900422,0.04,1244090560.1131132,131897068.04937842,0.002,271034084.12404734,81850204.70560278,,,,,,,0.019,52267284.04313416,70274599.55873571,48.516,3118218947.183739,3127779538.5171247,0.21,9174518395.667374,2049343228.0515945
